carregamentos,materiais,capital,estoques,supervisores,trabalhadores
30103300,7928200,648900,6033900,119700,79700
2360500,913300,39700,318600,9000,8800
2967900,1122100,75900,400800,7300,17200
7012100,2446700,226900,1239100,26100,24300
3299800,1466800,92300,314000,4800,11800
10097800,3600500,333300,2000300,30800,31800
5973400,2369600,176100,975500,23300,15100
2632600,946100,105000,493200,8500,10800
4455500,1685700,102100,997900,16600,17900
14811600,4480700,624400,2149200,40500,60000
14572600,5170800,374100,2276900,36700,59400
2273600,845800,52000,399100,5700,9800
3373100,1638000,84800,636200,7400,6600
7745500,2523200,308800,1189200,22200,17800
2928500,865900,200300,451900,9400,18800
23367600,7011400,755300,2127100,30000,34800
822600,375900,16700,187600,2100,5000
4459200,2501700,49200,963700,11000,20100
753900,330500,12800,204700,2100,4600
881900,599700,7900,253300,1800,3900
1061600,420300,11400,270500,2500,9800
239300,83900,1700,60600,700,2500
4313300,1965500,138700,623600,7000,25100
8936100,4199700,191900,1645700,18500,49600
1230000,515200,32400,226600,2600,5900
1089200,458700,22200,220400,1800,5800
732600,268700,17500,99600,3200,5400
933600,471000,6300,124100,1800,5500
1627400,633500,13600,237600,4500,14300
898800,402100,45700,166400,2500,5900
1512800,673900,56100,235900,3600,11500
6279200,2580500,144300,688200,25800,46200
1128000,411700,18700,115600,1700,6200
1674900,664200,46700,202900,1400,5400
6404200,2791100,175500,1100000,18700,44200
